Link;Titel;Bedrijf;Locatie;Sleutelwoorden
https://www.ictjob.be/en/job/compusearch-project-manager/1-167766;"IT Project Manager";"Compusearch";"Brussels";"IT Infrastructure, Networks, cloud";
https://www.ictjob.be/en/job/compusearch-infrastructure-team-coordinator/1-167721;"Infrastructure Team Coordinator";"Compusearch";"Brussels";"Network, Servers, Cloud, Storage";
https://www.ictjob.be/en/job/compusearch-software-implementation-expert/2-166532;"Software Implementation Expert";"Compusearch";"Leuven";"ITIL, BPMN, UML, ITSM";
https://www.ictjob.be/en/job/compusearch-security-officer/2-161887;"Security Officer";"Compusearch";"Zaventem";"Compliance, Risks, Security";
https://www.ictjob.be/en/job/compusearch-network-engineer/2-163779;"Network Engineer";"Compusearch";"Brussels";"Virtualization Network Systems UC";
https://www.ictjob.be/en/job/compusearch-it-support/1-167462;"IT Support";"Compusearch";"Antwerp";"freelance support Windows M365";
https://www.ictjob.be/en/job/compusearch-java-python-net-ontwikkelaar/1-167454;"Java / Python / .NET Ontwikkelaar";"Compusearch";"Wuustwezel";"Java, Python, .NET, Odoo";
https://www.ictjob.be/en/job/compusearch-pmo/2-165854;"PMO";"Compusearch";"Brussels";"PMO";
https://www.ictjob.be/en/job/business-analyst-sharepoint/1-167764;"Business Analyst Sharepoint";"Compusearch";"Brussels";"analyse Sharepoint O365 Dynamics";
https://www.ictjob.be/en/job/cloud-devops-project-manager/1-167763;"Cloud/Devops Project manager";"Compusearch";"East-Flanders";"Cloud/Devops Project manager";
https://www.ictjob.be/en/job/compusearch-back-end-web-developer/2-165977;"Back End Web Developer";"Compusearch";"Maastricht";"Symfony, Drupal, Vue";
https://www.ictjob.be/en/job/compusearch-directeurrice-direction-systemes-information/1-167336;"Directeur(rice) de la Direction des Systemes Information";"Compusearch";"Schaarbeek";"Director IT";
https://www.ictjob.be/en/job/compusearch-network-support-engineer/1-167331;"Network Support Engineer";"Compusearch";"Diegem";"Juniper, Fortinet, Cisco, F5";
https://www.ictjob.be/en/job/compusearch-network-integration-engineer/1-167329;"Network Integration Engineer";"Compusearch";"Diegem";"Juniper, Cisco, network, RADIUS";
https://www.ictjob.be/en/job/compusearch-java-python-net-ontwikkelaar/3-165681;"Java / Python / .NET Ontwikkelaar";"Compusearch";"Antwerp";"Java/Python/.NET ontwikkelaar";
https://www.ictjob.be/en/job/compusearch-crm-analyst/1-167311;"CRM Analyst";"Compusearch";"Brussels";"Omnitracker, CRM, Jira";
https://www.ictjob.be/en/job/compusearch-systeem-ingenieur-scripter/2-166383;"Systeem Ingenieur / Scripter";"Compusearch";"Heverlee";"Systeem Ingenieur Scripter Python";
https://www.ictjob.be/en/job/compusearch-teamlead-network-security-engineering/1-167048;"Teamlead Network & Security Engineering";"Compusearch";"Brussels";"Cisco Security Network";
